pT      v2         v2StatErr  v2PosSystErr  v2NegSysErr
0.5     0.0470     0.0002     0.0027        0.0036
0.7     0.0676     0.0003     0.0039        0.0053
0.9     0.0856     0.0003     0.0049        0.0068
1.1     0.1002     0.0004     0.0058        0.0081
1.3     0.1132     0.0006     0.0065        0.0093
1.5     0.1236     0.0007     0.0071        0.0104
1.7     0.1348     0.0009     0.0077        0.0116
1.9     0.1394     0.0011     0.0080        0.0123
2.1     0.1479     0.0014     0.0085        0.0134
2.3     0.1465     0.0017     0.0084        0.0137
2.5     0.1538     0.0021     0.0088        0.0148
2.7     0.1524     0.0026     0.0088        0.0151
2.9     0.1587     0.0032     0.0091        0.0162
