pT      v3         v3StatErr  v3PosSystErr  v3NegSysErr
0.5     0.0019     0.0011     0.0009        0.0008
0.7     0.0055     0.0014     0.0025        0.0023
0.9     0.0073     0.0018     0.0034        0.0031
1.1     0.0095     0.0023     0.0045        0.0040
1.3     0.0138     0.0029     0.0066        0.0059
1.5     0.0168     0.0037     0.0080        0.0072
1.7     0.0141     0.0046     0.0068        0.0060
1.9     0.0153     0.0058     0.0074        0.0065
2.25    0.0191     0.0053     0.0094        0.0081
2.75    0.0174     0.0088     0.0088        0.0074
