pT      v2         v2StatErr  v2PosSystErr  v2NegSysErr
0.5     0.0295     0.0004     0.0021        0.0039
0.7     0.0415     0.0005     0.0030        0.0060
0.9     0.0540     0.0007     0.0039        0.0079
1.1     0.0645     0.0009     0.0046        0.0118
1.3     0.0763     0.0011     0.0054        0.0140
1.5     0.0888     0.0014     0.0063        0.0162
1.7     0.0989     0.0017     0.0071        0.0205
1.9     0.1055     0.0022     0.0075        0.0219
2.1     0.1142     0.0027     0.0084        0.0258
2.3     0.1243     0.0033     0.0091        0.0280
2.5     0.1308     0.0041     0.0096        0.0295
2.7     0.1386     0.0050     0.0102        0.0329
2.9     0.1377     0.0060     0.0101        0.0326
